vehicle_id,scheduled_depart_s,sampled_headway_s,preferred_speed_mps,min_gap_m,preferred_tau_s
veh_000000,5.783865,5.783865,25.701690,2.881091,2.143868
veh_000001,11.524509,5.740645,23.179641,3.593831,1.934261
veh_000002,17.357535,5.833026,23.891782,3.100393,1.819621
veh_000003,24.410511,7.052976,24.309835,2.920769,1.946755
veh_000004,30.219128,5.808618,20.477031,2.537075,2.258917
veh_000005,33.973098,3.753970,18.856248,4.023960,1.893597
veh_000006,40.471576,6.498478,19.839542,3.883030,2.200697
veh_000007,46.070570,5.598994,23.113039,2.957765,1.594148
veh_000008,51.745132,5.674562,24.713610,3.689040,1.410843
veh_000009,57.918959,6.173827,22.637642,3.684519,1.939406
veh_000010,64.267405,6.348447,19.312283,2.479812,1.153380
veh_000011,72.012743,7.745338,25.493691,3.268267,2.001781
veh_000012,78.997698,6.984955,18.763647,3.301978,1.040228
veh_000013,85.163459,6.165761,21.260803,3.270558,1.872317
veh_000014,90.055977,4.892518,21.078086,3.004853,1.538045
veh_000015,94.533983,4.478006,22.912150,1.838506,2.200471
veh_000016,100.903496,6.369513,24.804335,2.970899,1.359058
veh_000017,108.870118,7.966621,19.015393,3.820043,1.440205
veh_000018,114.932603,6.062485,21.639089,3.397973,1.399764
veh_000019,120.773118,5.840515,23.057263,2.780340,1.741762
veh_000020,127.570782,6.797664,19.743486,4.393203,1.444428
veh_000021,131.390464,3.819682,22.147854,2.374268,2.138453
veh_000022,136.922048,5.531584,22.772999,3.878045,1.837433
veh_000023,143.657592,6.735544,19.367159,2.553171,1.624885
veh_000024,150.967699,7.310107,19.429892,1.775913,2.091662
veh_000025,156.606754,5.639055,22.229355,3.513235,2.059351
veh_000026,163.171654,6.564900,21.845392,3.632656,1.952621
veh_000027,169.543974,6.372320,22.846497,3.763898,1.522047
veh_000028,176.717464,7.173490,24.352643,4.459032,1.907543
veh_000029,181.047631,4.330167,23.346795,2.504573,1.494960
veh_000030,187.900007,6.852376,20.764645,2.848141,2.046433
veh_000031,191.628226,3.728219,24.431690,3.428388,2.181872
veh_000032,193.698308,2.070082,20.603889,4.717791,2.022121
veh_000033,198.787972,5.089664,25.860053,3.838001,2.052483
veh_000034,203.414257,4.626285,25.004605,2.368028,1.669365
veh_000035,210.728276,7.314018,19.725541,2.857053,2.117517
veh_000036,217.724674,6.996399,21.924671,2.042882,2.503157
veh_000037,221.896062,4.171388,21.454853,2.444021,1.513408
veh_000038,229.167104,7.271042,19.533805,2.546321,1.500647
veh_000039,233.663800,4.496696,19.612463,3.095547,1.851697
