space_start_mile,space_end_mile,time_start_s,time_end_s,average_speed_mph,vehicle_count,is_observed
0.000000000,0.100000000,0.000000000,300.000000000,51.638083404,50,1
0.000000000,0.100000000,300.000000000,600.000000000,53.202587251,49,1
0.000000000,0.100000000,600.000000000,900.000000000,52.717831608,49,1
0.000000000,0.100000000,900.000000000,1200.000000000,51.976336517,48,1
0.000000000,0.100000000,1200.000000000,1500.000000000,52.764121759,50,1
0.000000000,0.100000000,1500.000000000,1800.000000000,51.937823517,51,1
0.000000000,0.100000000,1800.000000000,2100.000000000,53.016368420,51,1
0.000000000,0.100000000,2100.000000000,2400.000000000,52.525756802,50,1
0.000000000,0.100000000,2400.000000000,2700.000000000,52.617227154,52,1
0.000000000,0.100000000,2700.000000000,3000.000000000,52.110868361,55,1
0.000000000,0.100000000,3000.000000000,3300.000000000,51.919232248,51,1
0.000000000,0.100000000,3300.000000000,3600.000000000,52.667147731,50,1
0.000000000,0.100000000,3600.000000000,3900.000000000,52.425222142,51,1
0.000000000,0.100000000,3900.000000000,4200.000000000,51.758321672,55,1
0.000000000,0.100000000,4200.000000000,4500.000000000,51.044565142,52,1
0.000000000,0.100000000,4500.000000000,4800.000000000,53.246785587,51,1
0.000000000,0.100000000,4800.000000000,5100.000000000,52.382239333,55,1
0.000000000,0.100000000,5100.000000000,5400.000000000,52.021109411,48,1
0.000000000,0.100000000,5400.000000000,5700.000000000,52.552682729,54,1
0.000000000,0.100000000,5700.000000000,6000.000000000,52.391440204,50,1
0.000000000,0.100000000,6000.000000000,6300.000000000,53.050982331,49,1
0.000000000,0.100000000,6300.000000000,6600.000000000,52.289643952,54,1
0.000000000,0.100000000,6600.000000000,6900.000000000,51.060889839,55,1
0.000000000,0.100000000,6900.000000000,7200.000000000,51.861723919,51,1
0.000000000,0.100000000,7200.000000000,7500.000000000,52.734382973,53,1
0.000000000,0.100000000,7500.000000000,7800.000000000,51.918095623,50,1
0.000000000,0.100000000,7800.000000000,8100.000000000,52.991149411,50,1
0.000000000,0.100000000,8100.000000000,8400.000000000,52.726165419,49,1
0.000000000,0.100000000,8400.000000000,8700.000000000,52.260604458,52,1
0.000000000,0.100000000,8700.000000000,9000.000000000,51.877282259,51,1
0.000000000,0.100000000,9000.000000000,9300.000000000,52.257246801,51,1
0.000000000,0.100000000,9300.000000000,9600.000000000,52.576407850,51,1
0.000000000,0.100000000,9600.000000000,9900.000000000,53.059550104,52,1
0.000000000,0.100000000,9900.000000000,10200.000000000,53.126229734,53,1
0.000000000,0.100000000,10200.000000000,10500.000000000,52.246729292,53,1
0.000000000,0.100000000,10500.000000000,10800.000000000,52.023107513,51,1
0.000000000,0.100000000,10800.000000000,11100.000000000,52.218127935,48,1
0.000000000,0.100000000,11100.000000000,11400.000000000,52.224490078,50,1
0.000000000,0.100000000,11400.000000000,11700.000000000,51.095651628,51,1
0.000000000,0.100000000,11700.000000000,12000.000000000,52.849069151,50,1
0.000000000,0.100000000,12000.000000000,12300.000000000,52.840752348,53,1
0.000000000,0.100000000,12300.000000000,12600.000000000,52.384259647,52,1
0.000000000,0.100000000,12600.000000000,12900.000000000,52.431856736,51,1
0.000000000,0.100000000,12900.000000000,13200.000000000,52.760355247,47,1
0.000000000,0.100000000,13200.000000000,13500.000000000,52.585155309,49,1
0.000000000,0.100000000,13500.000000000,13800.000000000,52.112760245,51,1
0.000000000,0.100000000,13800.000000000,14100.000000000,52.037377524,52,1
0.000000000,0.100000000,14100.000000000,14400.000000000,52.621557841,52,1
0.000000000,0.100000000,14400.000000000,14700.000000000,52.098255473,51,1
0.000000000,0.100000000,14700.000000000,15000.000000000,51.346388961,50,1
0.000000000,0.100000000,15000.000000000,15300.000000000,53.374117491,51,1
0.000000000,0.100000000,15300.000000000,15600.000000000,52.836546229,50,1
0.000000000,0.100000000,15600.000000000,15900.000000000,52.705514361,52,1
0.000000000,0.100000000,15900.000000000,16200.000000000,52.316631621,52,1
0.000000000,0.100000000,16200.000000000,16500.000000000,51.419819111,51,1
0.000000000,0.100000000,16500.000000000,16800.000000000,52.162798512,51,1
0.000000000,0.100000000,16800.000000000,17100.000000000,52.730065691,49,1
0.000000000,0.100000000,17100.000000000,17400.000000000,53.181838929,50,1
0.000000000,0.100000000,17400.000000000,17700.000000000,52.308293477,47,1
0.000000000,0.100000000,17700.000000000,18000.000000000,51.512096756,49,1
0.000000000,0.100000000,18000.000000000,18300.000000000,52.041174298,51,1
0.000000000,0.100000000,18300.000000000,18600.000000000,51.676492742,51,1
0.000000000,0.100000000,18600.000000000,18900.000000000,52.853225602,51,1
0.000000000,0.100000000,18900.000000000,19200.000000000,52.031674557,50,1
0.000000000,0.100000000,19200.000000000,19500.000000000,52.096580751,51,1
0.000000000,0.100000000,19500.000000000,19800.000000000,51.902656903,51,1
0.000000000,0.100000000,19800.000000000,20100.000000000,51.906637127,50,1
0.000000000,0.100000000,20100.000000000,20400.000000000,52.562367079,52,1
0.000000000,0.100000000,20400.000000000,20700.000000000,52.153242348,48,1
0.000000000,0.100000000,20700.000000000,21000.000000000,52.012760260,54,1
0.000000000,0.100000000,21000.000000000,21300.000000000,52.564947583,52,1
0.000000000,0.100000000,21300.000000000,21600.000000000,52.709136929,55,1
0.100000000,0.200000000,0.000000000,300.000000000,48.136382046,48,1
0.100000000,0.200000000,300.000000000,600.000000000,50.801346999,50,1
0.100000000,0.200000000,600.000000000,900.000000000,50.069566216,49,1
0.100000000,0.200000000,900.000000000,1200.000000000,48.778283160,50,1
0.100000000,0.200000000,1200.000000000,1500.000000000,50.061738244,50,1
0.100000000,0.200000000,1500.000000000,1800.000000000,49.052038359,50,1
