vehicle_id,status,scheduled_depart_s,sampled_headway_s,actual_depart_s,depart_delay_s,actual_entry_headway_s,arrival_s,duration_s,route_length_m,waiting_time_s,time_loss_s,preferred_speed_mps,trajectory_samples,min_gap_m,preferred_tau_s
veh_000000,completed,5.783865,5.783865,6.000000,0.216135,,629.000,623.000,16093.440000,0.000,68.521,25.701690,623,2.881091,2.143868
veh_000001,completed,11.524509,5.740645,12.000000,0.475491,6.000000,706.000,694.000,16093.440000,0.000,140.067,23.179641,694,3.593831,1.934261
veh_000002,completed,17.357535,5.833026,18.000000,0.642465,6.000000,723.000,705.000,16093.440000,0.000,150.969,23.891782,705,3.100393,1.819621
veh_000003,completed,24.410511,7.052976,25.000000,0.589489,7.000000,728.000,703.000,16093.440000,0.000,148.501,24.309835,703,2.920769,1.946755
veh_000004,completed,30.219128,5.808618,31.000000,0.780872,6.000000,806.000,775.000,16093.440000,0.000,220.471,20.477031,775,2.537075,2.258917
veh_000005,completed,33.973098,3.753970,34.000000,0.026902,3.000000,895.000,861.000,16093.440000,0.000,307.030,18.856248,861,4.023960,1.893597
veh_000006,completed,40.471576,6.498478,41.000000,0.528424,7.000000,909.000,868.000,16093.440000,0.000,313.739,19.839542,868,3.883030,2.200697
veh_000007,completed,46.070570,5.598994,47.000000,0.929430,6.000000,911.000,864.000,16093.440000,0.000,309.594,23.113039,864,2.957765,1.594148
veh_000008,completed,51.745132,5.674562,52.000000,0.254868,5.000000,912.000,860.000,16093.440000,0.000,306.032,24.713610,860,3.689040,1.410843
veh_000009,completed,57.918959,6.173827,58.000000,0.081041,6.000000,915.000,857.000,16093.440000,0.000,302.510,22.637642,857,3.684519,1.939406
veh_000010,completed,64.267405,6.348447,65.000000,0.732595,7.000000,942.000,877.000,16093.440000,0.000,322.732,19.312283,877,2.479812,1.153380
veh_000011,completed,72.012743,7.745338,73.000000,0.987257,8.000000,944.000,871.000,16093.440000,0.000,316.594,25.493691,871,3.268267,2.001781
veh_000012,completed,78.997698,6.984955,79.000000,0.002302,6.000000,946.000,867.000,16093.440000,0.000,312.699,18.763647,867,3.301978,1.040228
veh_000013,completed,85.163459,6.165761,86.000000,0.836541,7.000000,949.000,863.000,16093.440000,0.000,308.997,21.260803,863,3.270558,1.872317
veh_000014,completed,90.055977,4.892518,91.000000,0.944023,5.000000,952.000,861.000,16093.440000,0.000,306.583,21.078086,861,3.004853,1.538045
veh_000015,completed,94.533983,4.478006,95.000000,0.466017,4.000000,954.000,859.000,16093.440000,0.000,304.894,22.912150,859,1.838506,2.200471
veh_000016,completed,100.903496,6.369513,101.000000,0.096504,6.000000,956.000,855.000,16093.440000,0.000,300.517,24.804335,855,2.970899,1.359058
veh_000017,completed,108.870118,7.966621,109.000000,0.129882,8.000000,960.000,851.000,16093.440000,0.000,297.008,19.015393,851,3.820043,1.440205
veh_000018,completed,114.932603,6.062485,115.000000,0.067397,6.000000,962.000,847.000,16093.440000,0.000,293.015,21.639089,847,3.397973,1.399764
veh_000019,completed,120.773118,5.840515,121.000000,0.226882,6.000000,964.000,843.000,16093.440000,0.000,289.053,23.057263,843,2.780340,1.741762
veh_000020,completed,127.570782,6.797664,128.000000,0.429218,7.000000,966.000,838.000,16093.440000,0.000,283.889,19.743486,838,4.393203,1.444428
veh_000021,completed,131.390464,3.819682,132.000000,0.609536,4.000000,968.000,836.000,16093.440000,0.000,282.074,22.147854,836,2.374268,2.138453
veh_000022,completed,136.922048,5.531584,137.000000,0.077952,5.000000,971.000,834.000,16093.440000,0.000,279.519,22.772999,834,3.878045,1.837433
